Throat_mm,MR,Channels,Width_mm,Height_mm,Wall_mm,Thrust_kN,Tc_K,Wall_Tmax_K,DeltaP_bar
170.509,5.97,240,1.22,3.91,0.63,3280.379297020062,3298.668589380924,659.7275409836066,3.474451209887296
168.704,6.1,293,0.75,3.42,0.72,3682.6881567594155,3285.316954888546,723.2933333333334,4.512281704965393
161.601,5.83,164,1.33,2.77,0.93,2496.688191798778,3258.222608101183,605.5607518796992,2.1801797999023798
128.998,6.43,146,1.07,3.63,1.11,2889.3334606780127,3065.442972418963,667.4727102803739,1.911299769715846
152.583,6.41,312,0.64,2.98,0.96,3978.082313306811,3083.697331811769,743.24,4.9088150244708615
113.28,6.23,255,1.2,3.14,1.15,1879.4516457986456,3225.0333208891375,632.6533333333333,3.7576187622249475
109.448,6.02,314,0.98,2.31,1.1,1427.1554061849918,3299.4080185284815,631.0453061224489,4.951275340843341
164.582,5.47,240,1.02,3.03,1.05,1480.6409006279416,2971.7675060044453,652.0027450980392,3.474451209887296
165.063,6.88,368,0.81,3.55,0.8,6494.857561055978,2721.0670542335247,712.4308641975308,6.147571201853059
124.965,6.18,336,0.71,3.46,0.8,2183.772671217183,3253.298377650605,736.8321126760563,5.42718538721652
82.381,5.9,133,1.29,3.7,0.42,706.7282259648849,3285.316954888546,644.631007751938,1.7270646600729729
138.893,6.61,181,0.7,2.21,1.0,3838.2273138334945,2898.3786239264123,692.5514285714286,2.448084762016273
164.567,5.32,162,0.91,2.23,0.84,1064.8236256077107,2839.251961506301,640.5641758241759,2.149538699151978
163.063,5.59,359,0.87,3.7,1.01,1800.5861376255727,3083.6973318117684,704.5080459770115,5.9416632163337715
146.981,6.36,215,1.29,2.49,1.16,3543.0085538397298,3127.7337874695213,598.651007751938,3.0220150673618114
126.305,5.63,146,0.98,3.42,0.76,1151.94152466419,3119.144367190434,673.225306122449,1.911299769715846
164.783,6.53,186,1.28,3.22,0.48,5094.159889005203,2971.7675060044453,627.36,2.5293614365114956
129.525,6.16,384,0.97,2.66,0.68,2301.948536738976,3262.892004013159,646.0284536082474,6.519865991863939
112.31,6.23,178,0.7,3.23,0.95,1847.4025150735838,3225.0333208891375,731.3114285714286,2.39985296273159
133.784,6.02,136,1.09,2.59,0.78,2132.3768585630323,3299.4080185284815,625.208990825688,1.7688151323183374
127.794,6.98,290,0.78,2.92,0.83,4138.111580902256,2700.5919814715185,696.0882051282051,4.450817636894925
63.64,6.97,251,0.98,3.4,0.66,1020.1072245121906,2701.331410619076,672.465306122449,3.6812702871651757
136.827,6.27,255,0.64,2.14,1.07,2842.1302197500336,3198.393559597096,711.3199999999999,3.7576187622249475
78.81,5.98,125,1.03,3.64,0.65,708.5933819814833,3299.4080185284815,673.6598058252426,1.618033988749895
141.974,6.36,289,1.12,2.81,0.97,3305.7304788107945,3127.7337874695213,629.6371428571429,4.430400000000001
157.384,5.66,188,0.82,2.19,0.99,1873.0827826526215,3144.526102230515,658.3419512195122,2.562180903800634
85.157,5.97,170,1.1,2.21,1.08,818.2201191477616,3298.668589380924,609.4345454545455,2.27322305421512
69.78,6.57,268,0.68,3.78,0.54,941.0549941741147,2934.557027581037,758.9341176470588,4.009879268578906
175.952,5.67,211,1.22,3.25,0.45,2376.573614692586,3152.7124247251113,634.6475409836065,2.9519616310211707
163.807,6.1,354,1.33,2.02,0.85,3471.9950600126695,3285.316954888546,577.0607518796992,5.828376202934624
124.671,5.54,263,0.73,2.53,1.09,966.7628404216846,3037.5999700692914,695.3180821917808,3.9121146053437306
149.222,6.23,195,1.15,3.82,0.86,3261.29728564549,3225.0333208891375,664.2904347826087,2.678421446827955
105.396,6.95,205,1.37,2.78,0.57,2764.4330902790944,2703.6934978214585,602.4283211678832,2.848122654377322
138.368,6.94,143,0.61,2.15,0.85,4735.84042032853,2705.313824781393,723.9950819672131,1.8680250290108
72.116,6.54,346,1.3,3.43,0.94,983.0262390521464,2962.4000299307086,633.4169230769231,5.6487776258059545
126.821,5.67,240,1.12,2.93,0.98,1234.653814224207,3152.7124247251113,634.1971428571428,3.474451209887296
56.567,6.98,212,0.9,2.33,1.12,810.7884672170953,2700.5919814715185,646.3177777777778,2.969413274443952
171.069,5.21,231,0.76,3.26,1.06,844.7913812419837,2762.953496287293,714.4063157894736,3.3087168315798587
167.23,6.71,262,1.2,2.77,0.43,5967.048726762626,2816.127883904107,618.5933333333334,3.89267238618762
85.524,6.85,346,0.87,3.3,1.0,1710.9757585279717,2732.6980427434896,689.3080459770115,5.6487776258059545
169.248,5.23,169,1.19,3.7,0.64,879.7188752150607,2774.9666791108625,655.053781512605,2.2576
174.998,5.21,388,1.17,3.16,1.01,884.0422305142545,2762.953496287293,636.8321367521368,6.614170923355022
174.543,5.42,314,1.11,2.26,0.91,1505.5732717104706,2925.3930338505434,610.0241441441441,4.951275340843341
157.951,6.94,373,0.78,3.37,1.14,6171.212373563501,2705.313824781393,713.1882051282051,6.263061242083065
74.167,6.34,198,1.28,2.04,0.78,887.1278008311879,3144.526102230515,582.52,2.728885569068094
87.765,6.56,363,1.2,3.61,0.83,1477.7365317653,2943.785605624283,650.5133333333334,6.032863099698022
157.671,6.55,210,1.01,2.61,0.43,4734.138232398279,2953.069660487931,637.5958415841584,2.9345512933598257
77.538,6.07,125,1.01,2.23,1.12,754.6782852764339,3292.775028581624,623.1558415841585,1.618033988749895
113.52,6.19,310,1.26,3.93,1.18,1819.0801406074886,3248.1241722823684,656.324126984127,4.866490581691434
170.423,5.63,393,1.19,3.55,0.56,2097.2285417117846,3119.144367190434,649.353781512605,6.732737157942729
134.404,6.12,192,1.28,2.48,0.6,2384.285874380892,3278.9329457664753,599.24,2.6283440323406366
115.509,6.07,187,1.01,3.93,0.79,1674.8052463888405,3292.775028581624,687.7558415841585,2.545749231944131
122.251,6.96,253,1.28,3.47,0.75,3741.817005702931,2702.3655896056566,636.86,3.719369081046782
178.508,5.82,387,0.79,3.31,0.68,3008.0386974691046,3253.298377650605,708.3116455696202,6.590548901371698
161.606,6.55,384,1.33,2.8,1.17,4973.386973581561,2953.069660487931,606.7007518796993,6.519865991863939
141.115,5.74,126,0.61,3.25,0.66,1690.44247777567,3205.364131778607,765.795081967213,1.63147719376044
135.373,5.73,298,0.79,2.08,0.98,1534.1921889894172,3198.3935595970956,661.5716455696203,4.615422077989085
83.924,6.22,302,0.86,3.46,0.92,1022.1979961002536,3231.153972832737,697.526511627907,4.698560362791037
151.404,6.85,355,1.07,2.85,0.83,5362.1942786113805,2732.6980427434896,637.8327102803738,5.850970005522364
160.061,6.86,177,1.11,2.64,0.56,6030.957465984991,2728.551884260194,624.4641441441441,2.3838654729040503
166.986,6.41,360,0.79,3.48,0.68,4764.5467166686785,3083.697331811769,714.7716455696202,5.96441579677096
106.701,5.66,282,1.29,3.46,0.56,860.9398161838285,3144.526102230515,635.511007751938,4.288468228717248
105.227,5.78,145,1.11,3.64,1.11,992.2842626099165,3231.153972832737,662.464144144144,1.8968249711399063
149.744,6.48,225,0.78,3.52,1.09,4049.3820505033445,3018.8371558587937,718.8882051282051,3.2
127.495,6.2,359,0.89,3.52,0.54,2316.010800154095,3242.705098312484,693.5352808988764,5.9416632163337715
135.295,6.34,161,1.23,2.5,1.01,2952.080923864562,3144.526102230515,605.0813008130082,2.134288787209898
149.369,5.78,252,1.19,2.2,0.69,1999.4137420256036,3231.153972832737,598.053781512605,3.7003007858637287
163.501,5.98,163,1.06,3.52,0.95,3049.8274100785225,3299.4080185284815,664.7033962264151,2.164835751658403
80.699,6.98,154,0.72,2.2,0.79,1650.1277780836,2700.5919814715185,685.8222222222223,2.028871793186074
116.742,5.58,355,1.22,3.07,0.91,907.7475165074168,3074.6069661494566,627.8075409836065,5.850970005522364
99.84,6.53,214,0.81,3.05,0.49,1870.065878498592,2971.7675060044453,693.4308641975308,3.0044400891217182
111.397,5.58,324,0.77,3.47,1.15,826.5284387134994,3074.6069661494566,719.6522077922078,5.1656
153.39,6.98,216,1.08,2.08,1.02,5961.772012651322,2700.5919814715185,607.1881481481482,3.039630965317599
84.029,5.94,158,1.07,2.63,1.12,770.233714340179,3294.686175218607,629.4727102803738,2.0888233633730344
108.336,6.78,367,1.25,2.38,0.45,2624.207471108676,2768.8460271672634,598.44,6.12456685621213
145.499,5.98,281,1.33,2.31,1.08,2415.2075285922915,3299.4080185284815,588.0807518796992,4.268334677281199
109.703,6.18,124,1.12,2.41,0.64,1682.9361839236253,3253.298377650605,614.4371428571428,1.6046444495854764
111.095,5.69,258,0.99,3.48,0.85,975.8517888535081,3168.6250133556396,673.8561616161617,3.81527490262874
125.614,6.25,333,1.21,3.41,0.53,2353.1104954336406,3212.132034355964,641.8114049586777,5.3613438142143375
138.914,6.82,279,0.94,3.61,0.97,4428.295987645148,2746.7016223493956,687.3927659574468,4.228175017350983
176.378,5.55,258,0.7,3.23,0.84,1969.047972756471,3046.930339512069,731.3114285714286,3.81527490262874
