Throat_mm,MR,Channels,Width_mm,Height_mm,Wall_mm,Thrust_kN,Tc_K,Wall_Tmax_K,DeltaP_bar,Printable
16.937,6.86,124,0.83,2.6,0.84,67.52866885771195,2728.551884260194,671.5710843373495,1.6046444495854764,True
17.306,6.41,249,1.33,2.58,0.41,51.17464810061741,3083.697331811769,598.3407518796993,3.6433229805414524,True
16.386,6.48,125,0.98,3.34,0.69,48.488170110597686,3018.8371558587937,670.185306122449,1.618033988749895,True
15.2,6.2,117,0.67,2.37,0.49,32.91860703843818,3242.705098312484,708.8659701492537,1.5124387981502883,True
15.616,6.34,172,1.32,3.85,0.84,39.328226741437696,3144.526102230515,647.5121212121212,2.3046070818879105,True
16.366,5.78,161,0.68,3.68,0.53,24.003071534529166,3231.153972832737,755.1341176470588,2.134288787209898,True
17.12,5.98,167,1.09,2.7,0.42,33.438128124612916,3299.4080185284815,629.3889908256881,2.2264924905715633,True
12.704,6.98,147,0.87,2.76,0.62,40.89424920457906,2700.5919814715185,668.7880459770115,1.9258242247906998,True
13.725,6.53,225,0.65,3.89,0.85,35.34048193589573,2971.7675060044453,773.9738461538461,3.2,True
16.581,6.98,139,0.62,2.36,0.75,69.66308572831637,2700.5919814715185,727.7445161290323,1.8110286648277376,True
14.178,6.78,125,1.38,2.04,0.58,44.94511735269743,2768.8460271672634,573.4620289855072,1.618033988749895,True
16.16,5.98,205,0.87,2.5,0.62,29.793199842709086,3299.4080185284815,658.9080459770115,2.848122654377322,True
10.413,6.89,222,0.9,2.77,0.78,26.0093642055871,2717.7357693137324,663.0377777777778,3.146180402013438,True
14.251,6.18,141,1.2,3.88,0.49,28.400194858797907,3253.298377650605,660.7733333333334,1.8394257874178772,True
15.099,6.25,160,1.2,3.89,0.86,33.99872263507522,3212.132034355964,661.1533333333333,2.1190861620062105,True
15.809,6.82,143,1.12,2.24,0.51,57.352639052893444,2746.7016223493956,607.9771428571428,1.8680250290108,True
17.807,5.55,134,1.21,2.06,0.57,20.070074618586304,3046.930339512069,590.5114049586776,1.7409297159791122,True
14.13,6.01,207,1.19,2.22,0.59,23.533858205942227,3299.8519681097196,598.813781512605,2.882569100781759,True
12.584,6.92,190,0.98,3.83,0.59,38.69562501231898,2709.4250516614106,688.8053061224489,2.595175410317714,True
12.167,6.44,100,0.83,3.15,0.6,25.909071285402273,3056.214394375717,692.4710843373493,1.3,True
13.512,6.23,142,1.14,2.46,0.74,26.740156775942207,3225.0333208891375,613.8308771929825,1.8537002326955552,True
17.701,5.63,132,1.33,3.42,0.87,22.624810565062052,3119.144367190434,630.2607518796992,1.7132516309488317,True
16.688,6.37,194,0.61,2.36,0.52,46.05385164725281,3119.144367190434,731.9750819672131,2.6616858606189755,True
12.002,6.94,122,1.07,3.89,0.58,35.63140746010367,2705.313824781393,677.3527102803738,1.5780272352774767,True
14.394,5.86,196,0.79,2.87,0.46,20.561199591999856,3271.448115739806,691.5916455696203,2.6952000000000003,True
